Visibility,Module,Package,Class,Method/Property name,Kind,Deprecated?,Scylla-only?,Counted to total sum,Priority,Status,Stub anchor,Github issue?,Implemented and waiting as PRs,Merged to master,Comment
public,core,com.datastax.oss.driver.api.core,AllNodesFailedException,fromErrors(Map),method,1,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AllNodesFailedException,fromErrors(List),method,0,0,1,T1,needs-bridge,,,,,
protected,core,com.datastax.oss.driver.api.core,AllNodesFailedException,"AllNodesFailedException(String, ExecutionInfo, Map)",constructor,1,0,1,T1,needs-bridge,,,,,
protected,core,com.datastax.oss.driver.api.core,AllNodesFailedException,"AllNodesFailedException(String, ExecutionInfo, Iterable)",constructor,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AllNodesFailedException,getErrors(),method,1,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AllNodesFailedException,getAllErrors(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AllNodesFailedException,copy(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AllNodesFailedException,reword(String),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncAutoCloseable,closeFuture(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncAutoCloseable,isClosed(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncAutoCloseable,closeAsync(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncAutoCloseable,forceCloseAsync(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncAutoCloseable,close(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,getColumnDefinitions(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,getExecutionInfo(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,remaining(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,currentPage(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,one(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,hasMorePages(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,fetchNextPage(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,wasApplied(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,AsyncPagingIterable,map(Function),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,SMART,enum-constant,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,ENABLED,enum-constant,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,DISABLED,enum-constant,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,toString(),method,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,fromValue(String),method,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,values(),method,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,CQL4SkipMetadataResolveMethod,valueOf(String),method,0,1,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,ANY,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,ONE,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,TWO,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,THREE,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,QUORUM,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,ALL,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,LOCAL_ONE,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,LOCAL_QUORUM,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,EACH_QUORUM,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,SERIAL,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,LOCAL_SERIAL,field,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,getProtocolCode(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,name(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,isDcLocal(),method,0,0,1,T1,needs-bridge,,,,,
public,core,com.datastax.oss.driver.api.core,ConsistencyLevel,isSerial(),method,0,0,1,T1,needs-bridge,,,,,
