Option,Config path,Typed?,Default (reference.conf),Disposition,Comment
CONTACT_POINTS,basic.contact-points,1,,,
SESSION_NAME,basic.session-name,1,,,
SESSION_KEYSPACE,basic.session-keyspace,1,,,
CONFIG_RELOAD_INTERVAL,basic.config-reload-interval,1,5 minutes,,
REQUEST_TIMEOUT,basic.request.timeout,1,2 seconds,,
REQUEST_CONSISTENCY,basic.request.consistency,1,LOCAL_ONE,,
REQUEST_PAGE_SIZE,basic.request.page-size,1,5000,,
REQUEST_SERIAL_CONSISTENCY,basic.request.serial-consistency,1,SERIAL,,
REQUEST_DEFAULT_IDEMPOTENCE,basic.request.default-idempotence,1,false,,
LOAD_BALANCING_POLICY,basic.load-balancing-policy,0,,,
LOAD_BALANCING_POLICY_CLASS,basic.load-balancing-policy.class,1,DefaultLoadBalancingPolicy,,
LOAD_BALANCING_LOCAL_DATACENTER,basic.load-balancing-policy.local-datacenter,1,,,
LOAD_BALANCING_LOCAL_RACK,basic.load-balancing-policy.local-rack,1,,,
LOAD_BALANCING_FILTER_CLASS,basic.load-balancing-policy.filter.class,1,,,
CONNECTION_INIT_QUERY_TIMEOUT,advanced.connection.init-query-timeout,1,5 seconds,,
CONNECTION_SET_KEYSPACE_TIMEOUT,advanced.connection.set-keyspace-timeout,1,${datastax-java-driver.advanced.connection.init-query-timeout},,
CONNECTION_MAX_REQUESTS,advanced.connection.max-requests-per-connection,1,1024,reinterpreted,per-shard connection model
CONNECTION_MAX_ORPHAN_REQUESTS,advanced.connection.max-orphan-requests,1,256,,
CONNECTION_WARN_INIT_ERROR,advanced.connection.warn-on-init-error,1,true,,
CONNECTION_ADVANCED_SHARD_AWARENESS_ENABLED,advanced.connection.advanced-shard-awareness.enabled,1,true,,
ADVANCED_SHARD_AWARENESS_PORT_LOW,advanced.connection.advanced-shard-awareness.port-low,1,10000,,
ADVANCED_SHARD_AWARENESS_PORT_HIGH,advanced.connection.advanced-shard-awareness.port-high,1,65535,,
CONNECTION_POOL_LOCAL_SIZE,advanced.connection.pool.local.size,1,1,reinterpreted,"Rust pools per shard, not per node"
CONNECTION_POOL_REMOTE_SIZE,advanced.connection.pool.remote.size,1,1,reinterpreted,"Rust pools per shard, not per node"
CONNECTION_POOL_INIT_BATCH_SIZE,advanced.connection.pool.init-batch-size,1,0,reinterpreted,"Rust pools per shard, not per node"
RECONNECT_ON_INIT,advanced.reconnect-on-init,1,false,,
RECONNECTION_POLICY_CLASS,advanced.reconnection-policy.class,1,ExponentialReconnectionPolicy,,
RECONNECTION_BASE_DELAY,advanced.reconnection-policy.base-delay,1,1 second,,
RECONNECTION_MAX_DELAY,advanced.reconnection-policy.max-delay,1,60 seconds,,
RETRY_POLICY,advanced.retry-policy,0,,,
RETRY_POLICY_CLASS,advanced.retry-policy.class,1,DefaultRetryPolicy,,
SPECULATIVE_EXECUTION_POLICY,advanced.speculative-execution-policy,0,,,
SPECULATIVE_EXECUTION_POLICY_CLASS,advanced.speculative-execution-policy.class,1,NoSpeculativeExecutionPolicy,,
SPECULATIVE_EXECUTION_MAX,advanced.speculative-execution-policy.max-executions,1,,,
SPECULATIVE_EXECUTION_DELAY,advanced.speculative-execution-policy.delay,1,,,
AUTH_PROVIDER_CLASS,advanced.auth-provider.class,1,,,
AUTH_PROVIDER_USER_NAME,advanced.auth-provider.username,1,,,
AUTH_PROVIDER_PASSWORD,advanced.auth-provider.password,1,,,
SSL_ENGINE_FACTORY_CLASS,advanced.ssl-engine-factory.class,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
SSL_CIPHER_SUITES,advanced.ssl-engine-factory.cipher-suites,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
SSL_HOSTNAME_VALIDATION,advanced.ssl-engine-factory.hostname-validation,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
SSL_KEYSTORE_PATH,advanced.ssl-engine-factory.keystore-path,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
SSL_KEYSTORE_PASSWORD,advanced.ssl-engine-factory.keystore-password,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
SSL_TRUSTSTORE_PATH,advanced.ssl-engine-factory.truststore-path,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
SSL_TRUSTSTORE_PASSWORD,advanced.ssl-engine-factory.truststore-password,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
TIMESTAMP_GENERATOR_CLASS,advanced.timestamp-generator.class,1,AtomicTimestampGenerator,,
TIMESTAMP_GENERATOR_FORCE_JAVA_CLOCK,advanced.timestamp-generator.force-java-clock,1,false,,
TIMESTAMP_GENERATOR_DRIFT_WARNING_THRESHOLD,advanced.timestamp-generator.drift-warning.threshold,1,1 second,,
TIMESTAMP_GENERATOR_DRIFT_WARNING_INTERVAL,advanced.timestamp-generator.drift-warning.interval,1,10 seconds,,
REQUEST_TRACKER_CLASS,advanced.request-tracker.class,1,,,
REQUEST_LOGGER_SUCCESS_ENABLED,advanced.request-tracker.logs.success.enabled,1,,,
