Side,Rust type / error code,Rust kind,Variants,Java exception,Java supertype,Module,Explicitly implemented,All variants mapped,Comment
rust,BadKeyspaceName,enum,3,,,,0,0,
rust,BadQuery,enum,4,,,,0,0,
rust,BrokenConnectionError,struct,,,,,0,0,
rust,BrokenConnectionErrorKind,enum,8,,,,0,0,
rust,ClusterStateTokenError,enum,3,,,,0,0,
rust,ConnectionError,enum,6,,,,0,0,
rust,ConnectionPoolError,enum,3,,,,0,0,
rust,ConnectionSetupRequestError,struct,,,,,0,0,
rust,ConnectionSetupRequestErrorKind,enum,15,,,,0,0,
rust,CqlAuthChallengeParseError,re-export (),,,,,0,0,
rust,CqlAuthSuccessParseError,re-export (),,,,,0,0,
rust,CqlAuthenticateParseError,re-export (),,,,,0,0,
rust,CqlErrorParseError,re-export (),,,,,0,0,
rust,CqlEventHandlingError,enum,4,,,,0,0,
rust,CqlEventParseError,re-export (),,,,,0,0,
rust,CqlRequestSerializationError,re-export (),,,,,0,0,
rust,CqlResponseParseError,re-export (),,,,,0,0,
rust,CqlResultParseError,re-export (),,,,,0,0,
rust,CqlSupportedParseError,re-export (),,,,,0,0,
rust,CustomTranslationError,struct,,,,,0,0,
rust,DbError,re-export (),,,,,0,0,
rust,DeserializationError,re-export (),,,,,0,0,
rust,ExecutionError,enum,9,,,,0,0,
rust,FirstRowError,re-export (),,,,,0,0,
rust,FrameBodyExtensionsParseError,re-export (),,,,,0,0,
rust,FrameHeaderParseError,re-export (),,,,,0,0,
rust,IntoRowsResultError,re-export (),,,,,0,0,
rust,KeyspaceStrategyError,enum,4,,,,0,0,
rust,KeyspacesMetadataError,enum,1,,,,0,0,
rust,MaybeFirstRowError,re-export (),,,,,0,0,
rust,MetadataError,enum,6,,,,0,0,
rust,MetadataFetchError,struct,,,,,0,0,
rust,MetadataFetchErrorKind,enum,4,,,,0,0,
rust,NewSessionError,enum,4,,,,0,0,
rust,NextPageError,re-export (),,,,,0,0,
